crop,stage,weather_risk,care_area,priority,advice_en,advice_hi,advice_bho,advice_pa,advice_mr,frequency,source_type,review_status
Tomato,nursery,low,irrigation,planned,"For Tomato during nursery stage under stable weather, keep moisture even and avoid long dry-wet swings.",Tomato में nursery stage पर stable weather होने पर keep moisture even and avoid long dry-wet swings।,Tomato में nursery stage पर stable weather रहे त keep moisture even and avoid long dry-wet swings।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ stable weather ਹੋਵੇ ਤਾਂ keep moisture even and avoid long dry-wet swings।,Tomato मध्ये nursery stage आणि stable weather असताना keep moisture even and avoid long dry-wet swings.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,low,nutrition,planned,"For Tomato during nursery stage under stable weather, support crop with balanced nutrition and avoid excess nitrogen.",Tomato में nursery stage पर stable weather होने पर support crop with balanced nutrition and avoid excess nitrogen।,Tomato में nursery stage पर stable weather रहे त support crop with balanced nutrition and avoid excess nitrogen।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ stable weather ਹੋਵੇ ਤਾਂ support crop with balanced nutrition and avoid excess nitrogen।,Tomato मध्ये nursery stage आणि stable weather असताना support crop with balanced nutrition and avoid excess nitrogen.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,low,canopy,planned,"For Tomato during nursery stage under stable weather, keep canopy open for airflow and light entry.",Tomato में nursery stage पर stable weather होने पर keep canopy open for airflow and light entry।,Tomato में nursery stage पर stable weather रहे त keep canopy open for airflow and light entry।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ stable weather ਹੋਵੇ ਤਾਂ keep canopy open for airflow and light entry।,Tomato मध्ये nursery stage आणि stable weather असताना keep canopy open for airflow and light entry.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,low,scouting,planned,"For Tomato during nursery stage under stable weather, walk field twice weekly and mark suspicious patches early.",Tomato में nursery stage पर stable weather होने पर walk field twice weekly and mark suspicious patches early।,Tomato में nursery stage पर stable weather रहे त walk field twice weekly and mark suspicious patches early।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ stable weather ਹੋਵੇ ਤਾਂ walk field twice weekly and mark suspicious patches early।,Tomato मध्ये nursery stage आणि stable weather असताना walk field twice weekly and mark suspicious patches early.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,low,disease_watch,planned,"For Tomato during nursery stage under stable weather, walk field twice weekly and mark suspicious patches early.",Tomato में nursery stage पर stable weather होने पर walk field twice weekly and mark suspicious patches early।,Tomato में nursery stage पर stable weather रहे त walk field twice weekly and mark suspicious patches early।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ stable weather ਹੋਵੇ ਤਾਂ walk field twice weekly and mark suspicious patches early।,Tomato मध्ये nursery stage आणि stable weather असताना walk field twice weekly and mark suspicious patches early.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,medium,irrigation,planned,"For Tomato during nursery stage under moderate weather fluctuation, keep moisture even and avoid long dry-wet swings.",Tomato में nursery stage पर moderate weather fluctuation होने पर keep moisture even and avoid long dry-wet swings।,Tomato में nursery stage पर moderate weather fluctuation रहे त keep moisture even and avoid long dry-wet swings।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ moderate weather fluctuation ਹੋਵੇ ਤਾਂ keep moisture even and avoid long dry-wet swings।,Tomato मध्ये nursery stage आणि moderate weather fluctuation असताना keep moisture even and avoid long dry-wet swings.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,medium,nutrition,planned,"For Tomato during nursery stage under moderate weather fluctuation, support crop with balanced nutrition and avoid excess nitrogen.",Tomato में nursery stage पर moderate weather fluctuation होने पर support crop with balanced nutrition and avoid excess nitrogen।,Tomato में nursery stage पर moderate weather fluctuation रहे त support crop with balanced nutrition and avoid excess nitrogen।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ moderate weather fluctuation ਹੋਵੇ ਤਾਂ support crop with balanced nutrition and avoid excess nitrogen।,Tomato मध्ये nursery stage आणि moderate weather fluctuation असताना support crop with balanced nutrition and avoid excess nitrogen.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,medium,canopy,planned,"For Tomato during nursery stage under moderate weather fluctuation, keep canopy open for airflow and light entry.",Tomato में nursery stage पर moderate weather fluctuation होने पर keep canopy open for airflow and light entry।,Tomato में nursery stage पर moderate weather fluctuation रहे त keep canopy open for airflow and light entry।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ moderate weather fluctuation ਹੋਵੇ ਤਾਂ keep canopy open for airflow and light entry।,Tomato मध्ये nursery stage आणि moderate weather fluctuation असताना keep canopy open for airflow and light entry.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,medium,scouting,planned,"For Tomato during nursery stage under moderate weather fluctuation, walk field twice weekly and mark suspicious patches early.",Tomato में nursery stage पर moderate weather fluctuation होने पर walk field twice weekly and mark suspicious patches early।,Tomato में nursery stage पर moderate weather fluctuation रहे त walk field twice weekly and mark suspicious patches early।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ moderate weather fluctuation ਹੋਵੇ ਤਾਂ walk field twice weekly and mark suspicious patches early।,Tomato मध्ये nursery stage आणि moderate weather fluctuation असताना walk field twice weekly and mark suspicious patches early.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,medium,disease_watch,planned,"For Tomato during nursery stage under moderate weather fluctuation, walk field twice weekly and mark suspicious patches early.",Tomato में nursery stage पर moderate weather fluctuation होने पर walk field twice weekly and mark suspicious patches early।,Tomato में nursery stage पर moderate weather fluctuation रहे त walk field twice weekly and mark suspicious patches early।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ moderate weather fluctuation ਹੋਵੇ ਤਾਂ walk field twice weekly and mark suspicious patches early।,Tomato मध्ये nursery stage आणि moderate weather fluctuation असताना walk field twice weekly and mark suspicious patches early.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,high,irrigation,urgent,"For Tomato during nursery stage under high disease-weather pressure, keep moisture even and avoid long dry-wet swings.",Tomato में nursery stage पर high disease-weather pressure होने पर keep moisture even and avoid long dry-wet swings।,Tomato में nursery stage पर high disease-weather pressure रहे त keep moisture even and avoid long dry-wet swings।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ high disease-weather pressure ਹੋਵੇ ਤਾਂ keep moisture even and avoid long dry-wet swings।,Tomato मध्ये nursery stage आणि high disease-weather pressure असताना keep moisture even and avoid long dry-wet swings.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,high,nutrition,urgent,"For Tomato during nursery stage under high disease-weather pressure, support crop with balanced nutrition and avoid excess nitrogen.",Tomato में nursery stage पर high disease-weather pressure होने पर support crop with balanced nutrition and avoid excess nitrogen।,Tomato में nursery stage पर high disease-weather pressure रहे त support crop with balanced nutrition and avoid excess nitrogen।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ high disease-weather pressure ਹੋਵੇ ਤਾਂ support crop with balanced nutrition and avoid excess nitrogen।,Tomato मध्ये nursery stage आणि high disease-weather pressure असताना support crop with balanced nutrition and avoid excess nitrogen.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,high,canopy,urgent,"For Tomato during nursery stage under high disease-weather pressure, keep canopy open for airflow and light entry.",Tomato में nursery stage पर high disease-weather pressure होने पर keep canopy open for airflow and light entry।,Tomato में nursery stage पर high disease-weather pressure रहे त keep canopy open for airflow and light entry।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ high disease-weather pressure ਹੋਵੇ ਤਾਂ keep canopy open for airflow and light entry।,Tomato मध्ये nursery stage आणि high disease-weather pressure असताना keep canopy open for airflow and light entry.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,high,scouting,urgent,"For Tomato during nursery stage under high disease-weather pressure, walk field twice weekly and mark suspicious patches early.",Tomato में nursery stage पर high disease-weather pressure होने पर walk field twice weekly and mark suspicious patches early।,Tomato में nursery stage पर high disease-weather pressure रहे त walk field twice weekly and mark suspicious patches early।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ high disease-weather pressure ਹੋਵੇ ਤਾਂ walk field twice weekly and mark suspicious patches early।,Tomato मध्ये nursery stage आणि high disease-weather pressure असताना walk field twice weekly and mark suspicious patches early.,daily,generated_baseline,needs_agronomist_review
Tomato,nursery,high,disease_watch,urgent,"For Tomato during nursery stage under high disease-weather pressure, walk field twice weekly and mark suspicious patches early.",Tomato में nursery stage पर high disease-weather pressure होने पर walk field twice weekly and mark suspicious patches early।,Tomato में nursery stage पर high disease-weather pressure रहे त walk field twice weekly and mark suspicious patches early।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ high disease-weather pressure ਹੋਵੇ ਤਾਂ walk field twice weekly and mark suspicious patches early।,Tomato मध्ये nursery stage आणि high disease-weather pressure असताना walk field twice weekly and mark suspicious patches early.,daily,generated_baseline,needs_agronomist_review
Tomato,nursery,critical,irrigation,urgent,"For Tomato during nursery stage under critical disease-weather pressure, keep moisture even and avoid long dry-wet swings.",Tomato में nursery stage पर critical disease-weather pressure होने पर keep moisture even and avoid long dry-wet swings।,Tomato में nursery stage पर critical disease-weather pressure रहे त keep moisture even and avoid long dry-wet swings।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ critical disease-weather pressure ਹੋਵੇ ਤਾਂ keep moisture even and avoid long dry-wet swings।,Tomato मध्ये nursery stage आणि critical disease-weather pressure असताना keep moisture even and avoid long dry-wet swings.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,critical,nutrition,urgent,"For Tomato during nursery stage under critical disease-weather pressure, support crop with balanced nutrition and avoid excess nitrogen.",Tomato में nursery stage पर critical disease-weather pressure होने पर support crop with balanced nutrition and avoid excess nitrogen।,Tomato में nursery stage पर critical disease-weather pressure रहे त support crop with balanced nutrition and avoid excess nitrogen।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ critical disease-weather pressure ਹੋਵੇ ਤਾਂ support crop with balanced nutrition and avoid excess nitrogen।,Tomato मध्ये nursery stage आणि critical disease-weather pressure असताना support crop with balanced nutrition and avoid excess nitrogen.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,critical,canopy,urgent,"For Tomato during nursery stage under critical disease-weather pressure, keep canopy open for airflow and light entry.",Tomato में nursery stage पर critical disease-weather pressure होने पर keep canopy open for airflow and light entry।,Tomato में nursery stage पर critical disease-weather pressure रहे त keep canopy open for airflow and light entry।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ critical disease-weather pressure ਹੋਵੇ ਤਾਂ keep canopy open for airflow and light entry।,Tomato मध्ये nursery stage आणि critical disease-weather pressure असताना keep canopy open for airflow and light entry.,weekly,generated_baseline,needs_agronomist_review
Tomato,nursery,critical,scouting,urgent,"For Tomato during nursery stage under critical disease-weather pressure, walk field twice weekly and mark suspicious patches early.",Tomato में nursery stage पर critical disease-weather pressure होने पर walk field twice weekly and mark suspicious patches early।,Tomato में nursery stage पर critical disease-weather pressure रहे त walk field twice weekly and mark suspicious patches early।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ critical disease-weather pressure ਹੋਵੇ ਤਾਂ walk field twice weekly and mark suspicious patches early।,Tomato मध्ये nursery stage आणि critical disease-weather pressure असताना walk field twice weekly and mark suspicious patches early.,daily,generated_baseline,needs_agronomist_review
Tomato,nursery,critical,disease_watch,urgent,"For Tomato during nursery stage under critical disease-weather pressure, walk field twice weekly and mark suspicious patches early.",Tomato में nursery stage पर critical disease-weather pressure होने पर walk field twice weekly and mark suspicious patches early।,Tomato में nursery stage पर critical disease-weather pressure रहे त walk field twice weekly and mark suspicious patches early।,Tomato ਵਿੱਚ nursery stage ਦੌਰਾਨ critical disease-weather pressure ਹੋਵੇ ਤਾਂ walk field twice weekly and mark suspicious patches early।,Tomato मध्ये nursery stage आणि critical disease-weather pressure असताना walk field twice weekly and mark suspicious patches early.,daily,generated_baseline,needs_agronomist_review
Tomato,vegetative,low,irrigation,planned,"For Tomato during vegetative stage under stable weather, keep moisture even and avoid long dry-wet swings.",Tomato में vegetative stage पर stable weather होने पर keep moisture even and avoid long dry-wet swings।,Tomato में vegetative stage पर stable weather रहे त keep moisture even and avoid long dry-wet swings।,Tomato ਵਿੱਚ vegetative stage ਦੌਰਾਨ stable weather ਹੋਵੇ ਤਾਂ keep moisture even and avoid long dry-wet swings।,Tomato मध्ये vegetative stage आणि stable weather असताना keep moisture even and avoid long dry-wet swings.,weekly,generated_baseline,needs_agronomist_review
Tomato,vegetative,low,nutrition,planned,"For Tomato during vegetative stage under stable weather, support crop with balanced nutrition and avoid excess nitrogen.",Tomato में vegetative stage पर stable weather होने पर support crop with balanced nutrition and avoid excess nitrogen।,Tomato में vegetative stage पर stable weather रहे त support crop with balanced nutrition and avoid excess nitrogen।,Tomato ਵਿੱਚ vegetative stage ਦੌਰਾਨ stable weather ਹੋਵੇ ਤਾਂ support crop with balanced nutrition and avoid excess nitrogen।,Tomato मध्ये vegetative stage आणि stable weather असताना support crop with balanced nutrition and avoid excess nitrogen.,weekly,generated_baseline,needs_agronomist_review
Tomato,vegetative,low,canopy,planned,"For Tomato during vegetative stage under stable weather, keep canopy open for airflow and light entry.",Tomato में vegetative stage पर stable weather होने पर keep canopy open for airflow and light entry।,Tomato में vegetative stage पर stable weather रहे त keep canopy open for airflow and light entry।,Tomato ਵਿੱਚ vegetative stage ਦੌਰਾਨ stable weather ਹੋਵੇ ਤਾਂ keep canopy open for airflow and light entry।,Tomato मध्ये vegetative stage आणि stable weather असताना keep canopy open for airflow and light entry.,weekly,generated_baseline,needs_agronomist_review
Tomato,vegetative,low,scouting,planned,"For Tomato during vegetative stage under stable weather, walk field twice weekly and mark suspicious patches early.",Tomato में vegetative stage पर stable weather होने पर walk field twice weekly and mark suspicious patches early।,Tomato में vegetative stage पर stable weather रहे त walk field twice weekly and mark suspicious patches early।,Tomato ਵਿੱਚ vegetative stage ਦੌਰਾਨ stable weather ਹੋਵੇ ਤਾਂ walk field twice weekly and mark suspicious patches early।,Tomato मध्ये vegetative stage आणि stable weather असताना walk field twice weekly and mark suspicious patches early.,weekly,generated_baseline,needs_agronomist_review
