key,English,हिंदी,भोजपुरी,ਪੰਜਾਬੀ,मराठी,category
app_title,Plant Doctors,प्लांट डॉक्टर्स,प्लांट डॉक्टर्स,ਪਲਾਂਟ ਡਾਕਟਰਜ਼,प्लांट डॉक्टर्स,branding
nav_dashboard,Dashboard,डैशबोर्ड,डैशबोर्ड,ਡੈਸ਼ਬੋਰਡ,डॅशबोर्ड,navigation
nav_scanner,Scanner,स्कैनर,स्कैनर,ਸਕੈਨਰ,स्कॅनर,navigation
nav_community,Community,समुदाय,समुदाय,ਕਮਿਊਨਿਟੀ,समुदाय,navigation
nav_expert,Expert,विशेषज्ञ,विशेषज्ञ,ਮਾਹਰ,तज्ञ,navigation
nav_profile,Profile,प्रोफाइल,प्रोफाइल,ਪ੍ਰੋਫ਼ਾਈਲ,प्रोफाइल,navigation
btn_scan_now,Scan Now,अभी स्कैन करें,अबही स्कैन करीं,ਹੁਣੇ ਸਕੈਨ ਕਰੋ,आत्ताच स्कॅन करा,scanner
btn_new_scan,New Scan,नया स्कैन,नया स्कैन,ਨਵਾਂ ਸਕੈਨ,नवीन स्कॅन,scanner
btn_call_expert,Call Expert,विशेषज्ञ को कॉल करें,विशेषज्ञ से बात करीं,ਮਾਹਰ ਨੂੰ ਕਾਲ ਕਰੋ,तज्ञांना कॉल करा,expert
btn_download_pdf,Download PDF Report,PDF रिपोर्ट डाउनलोड करें,PDF रिपोर्ट डाउनलोड करीं,PDF ਰਿਪੋਰਟ ਡਾਊਨਲੋਡ ਕਰੋ,PDF अहवाल डाउनलोड करा,pdf
label_confidence,Confidence,विश्वास स्तर,विश्वास स्तर,ਭਰੋਸਾ ਪੱਧਰ,विश्वास पातळी,ai
label_diagnosis,Diagnosis,निदान,निदान,ਨਿਦਾਨ,निदान,ai
label_treatment,Treatment,उपचार,इलाज,ਇਲਾਜ,उपचार,ai
label_dosage,Dosage,मात्रा,मात्रा,ਮਾਤਰਾ,मात्रा,ai
label_precautions,Precautions,सावधानियां,सावधानी,ਸਾਵਧਾਨੀਆਂ,काळजी सूचना,ai
label_weather,Weather,मौसम,मौसम,ਮੌਸਮ,हवामान,weather
label_disease_risk,Disease Risk,रोग जोखिम,रोग खतरा,ਰੋਗ ਖਤਰਾ,रोग धोका,weather
label_low,Low,कम,कम,ਘੱਟ,कमी,common
label_medium,Medium,मध्यम,मध्यम,ਦਰਮਿਆਨਾ,मध्यम,common
label_high,High,उच्च,ज्यादा,ਉੱਚ,जास्त,common
label_critical,Critical,गंभीर,गंभीर,ਗੰਭੀਰ,गंभीर,common
error_low_confidence,This scan is uncertain. Connect to a human expert.,यह स्कैन अनिश्चित है। विशेषज्ञ से बात करें।,ई स्कैन पक्का नइखे। विशेषज्ञ से बात करीं।,ਇਹ ਸਕੈਨ ਪੱਕਾ ਨਹੀਂ। ਮਾਹਰ ਨਾਲ ਗੱਲ ਕਰੋ।,हा स्कॅन निश्चित नाही. तज्ञाशी बोला.,errors
voice_weather_response,There is a strong chance of rain tomorrow. Avoid spraying today.,कल बारिश की मजबूत संभावना है। आज छिड़काव न करें।,काल्ह बरखा के जादे आसार बा। आज छिड़काव मत करीं।,ਕੱਲ੍ਹ ਮੀਂਹ ਦੀ ਸੰਭਾਵਨਾ ਜ਼ਿਆਦਾ ਹੈ। ਅੱਜ ਛਿੜਕਾਅ ਨਾ ਕਰੋ।,उद्या पावसाची शक्यता जास्त आहे. आज फवारणी टाळा.,voice
voice_scan_response,Open the scanner and capture a clear leaf image.,स्कैनर खोलें और पत्ते की साफ फोटो लें।,स्कैनर खोलीं आ पात के साफ फोटो लीं।,ਸਕੈਨਰ ਖੋਲ੍ਹੋ ਅਤੇ ਪੱਤੇ ਦੀ ਸਾਫ਼ ਫੋਟੋ ਲਓ।,स्कॅनर उघडा आणि पानाचा स्पष्ट फोटो घ्या.,voice
pdf_title,Plant Doctors Crop Health Report,प्लांट डॉक्टर्स फसल स्वास्थ्य रिपोर्ट,प्लांट डॉक्टर्स फसल स्वास्थ्य रिपोर्ट,ਪਲਾਂਟ ਡਾਕਟਰਜ਼ ਫਸਲ ਸਿਹਤ ਰਿਪੋਰਟ,प्लांट डॉक्टर्स पीक आरोग्य अहवाल,pdf
pdf_disclaimer,This report supports decisions but does not replace field expert judgement.,यह रिपोर्ट निर्णय में मदद करती है लेकिन विशेषज्ञ निर्णय का विकल्प नहीं है।,ई रिपोर्ट मदद करेले बाकिर विशेषज्ञ राय के जगह नइखे लेत।,ਇਹ ਰਿਪੋਰਟ ਮਦਦ ਕਰਦੀ ਹੈ ਪਰ ਮਾਹਰ ਫੈਸਲੇ ਦੀ ਥਾਂ ਨਹੀਂ ਲੈਂਦੀ।,हा अहवाल मदत करतो पण तज्ञ निर्णयाची जागा घेत नाही.,pdf
cropcare_heading,Growth and Care Recommendations,विकास और देखभाल सलाह,बढ़त आ देखभाल सलाह,ਵਿਕਾਸ ਅਤੇ ਦੇਖਭਾਲ ਸਲਾਹ,वाढ आणि काळजी शिफारसी,cropcare
cropcare_irrigation,Irrigation,सिंचाई,सिंचाई,ਸਿੰਚਾਈ,सिंचन,cropcare
cropcare_nutrition,Nutrition,पोषण,पोषण,ਪੋਸ਼ਣ,पोषण,cropcare
cropcare_canopy,Canopy Management,पौध प्रबंधन,पौधा प्रबंधन,ਛਤਰੀ ਪ੍ਰਬੰਧਨ,छत्र व्यवस्थापन,cropcare
cropcare_scouting,Scouting,निरीक्षण,निरीक्षण,ਨਿਗਰਾਨੀ,निरिक्षण,cropcare
auto_weather_review_morning_0000,Review and confirm weather planning for morning field rounds.,जांचें और पुष्टि करें मौसम योजना सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं मौसम योजना भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਮੌਸਮ ਯੋਜਨਾ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा हवामान नियोजन सकाळच्या फेरीसाठी.,synthetic_extension
auto_scan_review_morning_0001,Review and confirm leaf scan quality for morning field rounds.,जांचें और पुष्टि करें पत्ती स्कैन गुणवत्ता सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं पत्ता स्कैन गुणवत्ता भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਪੱਤਾ ਸਕੈਨ ਕੁਆਲਿਟੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा पान स्कॅन गुणवत्ता सकाळच्या फेरीसाठी.,synthetic_extension
auto_soil_review_morning_0002,Review and confirm soil readiness for morning field rounds.,जांचें और पुष्टि करें मिट्टी तैयारी सुबह खेत निरीक्षण के लिए।,जांचीं आ पक्का करीं माटी तैयारी भोर खेत जांच खातिर।,ਜਾਂਚੋ ਅਤੇ ਪੁਸ਼ਟੀ ਕਰੋ ਮਿੱਟੀ ਤਿਆਰੀ ਸਵੇਰੇ ਖੇਤ ਜਾਂਚ ਲਈ।,तपासा आणि खात्री करा माती तयारी सकाळच्या फेरीसाठी.,synthetic_extension
