crop,soil_type,growth_stage,n_status,p_status,k_status,recommended_fertilizer,dosage_kg_per_acre,application_method,advisory_en,advisory_hi,advisory_bho,advisory_pa,advisory_mr,source_type,review_status
rice,loamy,nursery,low,balanced,balanced,Urea + FYM,53,split_dose_root_zone,"For rice at nursery, apply Urea + FYM (53 kg/acre) via split_dose_root_zone and re-check in 7 days.",rice के nursery चरण में Urea + FYM (53 kg/acre) split_dose_root_zone से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में Urea + FYM (53 kg/acre) split_dose_root_zone से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ Urea + FYM (53 kg/acre) split_dose_root_zone ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात Urea + FYM (53 kg/acre) split_dose_root_zone ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,nursery,balanced,low,balanced,DAP / SSP blend,40,basal_application,"For rice at nursery, apply DAP / SSP blend (40 kg/acre) via basal_application and re-check in 7 days.",rice के nursery चरण में DAP / SSP blend (40 kg/acre) basal_application से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में DAP / SSP blend (40 kg/acre) basal_application से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ DAP / SSP blend (40 kg/acre) basal_application ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात DAP / SSP blend (40 kg/acre) basal_application ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,nursery,balanced,balanced,low,MOP (Muriate of Potash),43,side_dressing,"For rice at nursery, apply MOP (Muriate of Potash) (43 kg/acre) via side_dressing and re-check in 7 days.",rice के nursery चरण में MOP (Muriate of Potash) (43 kg/acre) side_dressing से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में MOP (Muriate of Potash) (43 kg/acre) side_dressing से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ MOP (Muriate of Potash) (43 kg/acre) side_dressing ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात MOP (Muriate of Potash) (43 kg/acre) side_dressing ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,nursery,balanced,balanced,balanced,NPK 19:19:19 balanced feed,37,foliar_plus_basal,"For rice at nursery, apply NPK 19:19:19 balanced feed (37 kg/acre) via foliar_plus_basal and re-check in 7 days.",rice के nursery चरण में NPK 19:19:19 balanced feed (37 kg/acre) foliar_plus_basal से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में NPK 19:19:19 balanced feed (37 kg/acre) foliar_plus_basal से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ NPK 19:19:19 balanced feed (37 kg/acre) foliar_plus_basal ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात NPK 19:19:19 balanced feed (37 kg/acre) foliar_plus_basal ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,loamy,nursery,high,balanced,balanced,Biofertilizer + irrigation flush,27,soil_correction,"For rice at nursery, apply Biofertilizer + irrigation flush (27 kg/acre) via soil_correction and re-check in 7 days.",rice के nursery चरण में Biofertilizer + irrigation flush (27 kg/acre) soil_correction से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में Biofertilizer + irrigation flush (27 kg/acre) soil_correction से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ Biofertilizer + irrigation flush (27 kg/acre) soil_correction ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात Biofertilizer + irrigation flush (27 kg/acre) soil_correction ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,nursery,low,balanced,balanced,Urea + FYM,54,split_dose_root_zone,"For rice at nursery, apply Urea + FYM (54 kg/acre) via split_dose_root_zone and re-check in 7 days.",rice के nursery चरण में Urea + FYM (54 kg/acre) split_dose_root_zone से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में Urea + FYM (54 kg/acre) split_dose_root_zone से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ Urea + FYM (54 kg/acre) split_dose_root_zone ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात Urea + FYM (54 kg/acre) split_dose_root_zone ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,nursery,balanced,low,balanced,DAP / SSP blend,43,basal_application,"For rice at nursery, apply DAP / SSP blend (43 kg/acre) via basal_application and re-check in 7 days.",rice के nursery चरण में DAP / SSP blend (43 kg/acre) basal_application से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में DAP / SSP blend (43 kg/acre) basal_application से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ DAP / SSP blend (43 kg/acre) basal_application ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात DAP / SSP blend (43 kg/acre) basal_application ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,nursery,balanced,balanced,low,MOP (Muriate of Potash),37,side_dressing,"For rice at nursery, apply MOP (Muriate of Potash) (37 kg/acre) via side_dressing and re-check in 7 days.",rice के nursery चरण में MOP (Muriate of Potash) (37 kg/acre) side_dressing से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में MOP (Muriate of Potash) (37 kg/acre) side_dressing से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ MOP (Muriate of Potash) (37 kg/acre) side_dressing ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात MOP (Muriate of Potash) (37 kg/acre) side_dressing ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,nursery,balanced,balanced,balanced,NPK 19:19:19 balanced feed,43,foliar_plus_basal,"For rice at nursery, apply NPK 19:19:19 balanced feed (43 kg/acre) via foliar_plus_basal and re-check in 7 days.",rice के nursery चरण में NPK 19:19:19 balanced feed (43 kg/acre) foliar_plus_basal से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में NPK 19:19:19 balanced feed (43 kg/acre) foliar_plus_basal से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ NPK 19:19:19 balanced feed (43 kg/acre) foliar_plus_basal ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात NPK 19:19:19 balanced feed (43 kg/acre) foliar_plus_basal ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
rice,clay,nursery,high,balanced,balanced,Biofertilizer + irrigation flush,21,soil_correction,"For rice at nursery, apply Biofertilizer + irrigation flush (21 kg/acre) via soil_correction and re-check in 7 days.",rice के nursery चरण में Biofertilizer + irrigation flush (21 kg/acre) soil_correction से दें और 7 दिन बाद जांच करें।,rice के nursery दौर में Biofertilizer + irrigation flush (21 kg/acre) soil_correction से दीं आ 7 दिन बाद फेर जांच करीं।,rice ਦੇ nursery ਪੜਾਅ ਵਿੱਚ Biofertilizer + irrigation flush (21 kg/acre) soil_correction ਨਾਲ ਦਿਓ ਅਤੇ 7 ਦਿਨ ਬਾਅਦ ਮੁੜ ਜਾਂਚੋ।,rice च्या nursery टप्प्यात Biofertilizer + irrigation flush (21 kg/acre) soil_correction ने द्या आणि 7 दिवसांनी पुन्हा तपासा.,generated_baseline,needs_agronomist_review
