record_type,disease_class,crop,disease_name,health_status,pathogen_type,stage,severity,medicine_name,active_ingredient,dosage_per_liter,dosage_per_acre,spray_interval_days,waiting_period_days,recovery_window_days,irrigation_advice,cultural_control,chemical_control,precautionary_notes,escalation_rule,summary_en,summary_hi,summary_bho,summary_pa,summary_mr,source_type,evidence_level,review_status
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,nursery,low,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,1.8 g/L,270.0 g/acre,7,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"Low risk detected in Apple during nursery or early transplant stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में नर्सरी अवस्था पर कम स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में nursery or early transplant stage पर low स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ ਨਰਸਰੀ ਅਵਸਥਾ ਦੌਰਾਨ ਘੱਟ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये nursery or early transplant stage दरम्यान low पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,nursery,medium,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,2.0 g/L,300.0 g/acre,7,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"Medium risk detected in Apple during nursery or early transplant stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में नर्सरी अवस्था पर मध्यम स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में nursery or early transplant stage पर medium स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ ਨਰਸਰੀ ਅਵਸਥਾ ਦੌਰਾਨ ਦਰਮਿਆਨਾ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये nursery or early transplant stage दरम्यान medium पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,nursery,high,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,2.2 g/L,330.0 g/acre,5,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"High risk detected in Apple during nursery or early transplant stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में नर्सरी अवस्था पर उच्च स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में nursery or early transplant stage पर high स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ ਨਰਸਰੀ ਅਵਸਥਾ ਦੌਰਾਨ ਉੱਚ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये nursery or early transplant stage दरम्यान high पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,nursery,critical,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,2.4 g/L,360.0 g/acre,5,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"Critical risk detected in Apple during nursery or early transplant stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में नर्सरी अवस्था पर गंभीर स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में nursery or early transplant stage पर critical स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ ਨਰਸਰੀ ਅਵਸਥਾ ਦੌਰਾਨ ਗੰਭੀਰ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये nursery or early transplant stage दरम्यान critical पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,vegetative,low,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,1.8 g/L,270.0 g/acre,7,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"Low risk detected in Apple during vegetative stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में वनस्पति अवस्था पर कम स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में vegetative stage पर low स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ ਵਿਕਾਸ ਅਵਸਥਾ ਦੌਰਾਨ ਘੱਟ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये vegetative stage दरम्यान low पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,vegetative,medium,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,2.0 g/L,300.0 g/acre,7,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"Medium risk detected in Apple during vegetative stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में वनस्पति अवस्था पर मध्यम स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में vegetative stage पर medium स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ ਵਿਕਾਸ ਅਵਸਥਾ ਦੌਰਾਨ ਦਰਮਿਆਨਾ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये vegetative stage दरम्यान medium पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,vegetative,high,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,2.2 g/L,330.0 g/acre,5,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"High risk detected in Apple during vegetative stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में वनस्पति अवस्था पर उच्च स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में vegetative stage पर high स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ ਵਿਕਾਸ ਅਵਸਥਾ ਦੌਰਾਨ ਉੱਚ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये vegetative stage दरम्यान high पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,vegetative,critical,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,2.4 g/L,360.0 g/acre,5,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"Critical risk detected in Apple during vegetative stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में वनस्पति अवस्था पर गंभीर स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में vegetative stage पर critical स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ ਵਿਕਾਸ ਅਵਸਥਾ ਦੌਰਾਨ ਗੰਭੀਰ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये vegetative stage दरम्यान critical पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,flowering_fruiting,low,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,1.8 g/L,270.0 g/acre,7,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"Low risk detected in Apple during flowering or fruiting stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में fकमering or fruiting stage पर कम स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में flowering or fruiting stage पर low स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ fਘੱਟering or fruiting stage ਦੌਰਾਨ ਘੱਟ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये flowering or fruiting stage दरम्यान low पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
disease_protocol,Apple___Apple_scab,Apple,Apple scab,attention,fungal_or_foliar,flowering_fruiting,medium,Protective foliar fungicide,Mancozeb / Chlorothalonil rotation,2.0 g/L,300.0 g/acre,7,5,10,Keep irrigation stable for Apple and avoid prolonged leaf wetness.,Remove infected lower leaves and improve sunlight penetration in canopy.,Start protective spray rotation and re-scan after 48 hours.,Match spray to crop label and local residue rules.,Escalate if lesion size grows after two spray cycles.,"Medium risk detected in Apple during flowering or fruiting stage. Start with Protective foliar fungicide, follow remove infected lower leaves and improve sunlight penetration in canopy., and review field in 48 hours.","सेब में fकमering or fruiting stage पर मध्यम स्तर का जोखिम दिख रहा है। सुरक्षात्मक कवकनाशी (Fungicide) से शुरुआत करें, संक्रमित निचली पत्तियों को हटा दें और पौधों के बीच धूप पहुंचने दें। और 48 घंटे बाद खेत दोबारा देखें।","Apple में flowering or fruiting stage पर medium स्तर के समस्या दिख रहल बा। पहिले Protective foliar fungicide से काम शुरू करीं, Remove infected lower leaves and improve sunlight penetration in canopy. आ 48 घंटा बाद फेर जांच करीं।","ਸੇਬ ਵਿੱਚ fਘੱਟering or fruiting stage ਦੌਰਾਨ ਦਰਮਿਆਨਾ ਪੱਧਰ ਦਾ ਖਤਰਾ ਦਿੱਸ ਰਿਹਾ ਹੈ। ਸੁਰੱਖਿਆ ਵਾਲੀ ਉੱਲੀਮਾਰ (Fungicide) ਨਾਲ ਸ਼ੁਰੂ ਕਰੋ, ਬਿਮਾਰ ਹੇਠਲੇ ਪੱਤਿਆਂ ਨੂੰ ਹਟਾਓ ਅਤੇ ਪੌਦਿਆਂ ਵਿਚਕਾਰ ਧੁੱਪ ਪਹੁੰਚਣ ਦਿਓ। ਅਤੇ 48 ਘੰਟਿਆਂ ਬਾਅਦ ਖੇਤ ਮੁੜ ਵੇਖੋ।","Apple मध्ये flowering or fruiting stage दरम्यान medium पातळीचा धोका दिसतो आहे. Protective foliar fungicide पासून सुरुवात करा, Remove infected lower leaves and improve sunlight penetration in canopy. आणि 48 तासांनी पुन्हा पाहणी करा.",generated_baseline,synthetic_foundation,needs_agronomist_review
